per,cluster,perform_std,perform_quart,f1_std,f2_std,f3_std
44,1,-1.670807242,1,-1.681746006,-0.77521199,0.314971447
45,1,-1.367115378,1,-1.21456933,0.180493757,-0.837857485
46,1,0.334706098,3,0.171978787,-1.828370929,0.59181875
47,1,-1.361958265,1,-1.083564162,-1.652543902,0.064248301
48,1,0.214375421,3,-1.294264674,-0.585530818,0.790292442
49,1,-0.134583548,2,-1.306424975,0.15989159,1.107601643
50,1,-0.720502138,1,-0.080316551,-1.297577143,-0.366210103
51,1,-1.934388399,1,-1.682229638,-0.290211767,-0.857978046
52,1,-0.928766906,1,-0.953430355,-1.721803904,0.352551162
53,1,0.199334309,3,-1.187972903,-0.253059655,1.534888506
54,1,0.283135444,3,-0.833602667,-0.620211661,-0.385857731
55,1,-2.041826963,1,-1.649907112,-0.852313638,0.900415361
56,1,0.294596165,3,-1.565891743,-1.33479476,1.413258195
57,1,-1.41471839,1,0.03739607,-1.797422647,-0.094452642
58,1,-1.212404251,1,-1.448365927,-1.057642102,0.184061676
59,1,-0.627940238,1,-0.42759487,-1.029049993,-0.324025661
60,1,-1.425131679,1,-0.777120233,-1.29552424,-0.630456448
61,1,-2.011744022,1,-1.099373221,-0.557476044,-1.435348511
62,1,-0.692733407,1,-1.038455486,-0.250810713,-1.207182407
63,1,0.394871444,3,0.028950641,0.046686918,-2.104881763
64,1,-0.335708171,2,-0.302317739,-0.556811213,-1.683717251
65,1,-1.634343147,1,0.369818807,-1.276069283,-0.872627854
66,1,-1.306168556,1,0.25022316,-1.348267317,-1.806295514
67,1,-1.019015312,1,-1.820657015,0.362431735,-2.215936899
68,1,-1.418685198,1,-1.215142846,-1.741179705,-1.789458156
69,1,-1.217561364,1,-0.409451514,-0.530536652,-2.061921358
70,1,-1.741000295,1,-1.004023075,-2.880700111,-0.917019904
71,1,-2.342653751,1,-0.108860433,-1.939691544,-1.42565608
72,1,0.236253724,3,0.533824682,-0.667388022,-1.254435062
73,1,-1.966620564,1,-1.259776235,-1.792553425,-0.700860441
74,1,-1.338986039,1,-0.371451795,-0.722778559,-0.470744312
75,1,-1.470255852,1,0.127800718,-0.609228671,-1.645240068
76,1,-1.985959053,1,-1.615433693,-1.349756122,-1.571148396
77,1,-1.470255852,1,0.139675349,-0.925600171,-1.096666098
78,1,-1.951578617,1,-1.995588183,-0.56532824,-1.969288826
79,1,0.109085865,3,-1.395316839,0.838881373,-1.338387728
80,1,-3.194997072,1,-0.254950315,-1.169416189,-2.404254436
81,1,-0.116534382,2,0.47331652,-0.559155166,-0.88529098
82,1,-0.026285939,2,0.567855477,-0.792110145,-1.129943848
83,1,0.816029668,4,-0.548326373,-0.418068677,-0.270208806
84,1,-2.159423351,1,-1.000800729,-1.745223165,-0.822789252
85,1,-1.470255852,1,-1.04262352,-1.002430439,-2.261298895
86,1,-1.590586543,1,-0.142297298,-1.669948936,-1.085870385
87,1,-0.1616586,2,0.26533711,-0.548152268,-1.060098529
88,1,-1.991689324,1,-1.064291239,-0.697204471,-1.9218086
89,1,-1.867347121,1,-1.787305236,0.719979942,-1.485521913
90,1,0.551302195,3,0.352337182,-0.453089625,-0.592364788
91,1,0.094044745,3,0.643899322,-0.405338794,-1.776013136
92,1,-2.312571526,1,-1.397119522,-1.769318461,-0.431057543
93,1,-2.243810654,1,-1.7609694,-0.891244411,-1.811511993
94,1,-1.217561364,1,-1.315078616,-1.579539537,-1.840688586
95,1,-2.372736931,1,-1.771970034,-0.523539186,-2.014576912
96,1,-1.057693124,1,-1.081048369,0.342339456,-3.125953913
97,1,-1.128263116,1,-0.909083545,-0.725542843,-1.927027225
98,1,-1.269704461,1,-0.868400812,-0.282600671,-0.837711513
99,1,-0.134583548,2,0.080245614,-0.816491842,-0.702427566
100,1,-0.928766906,1,-0.526192367,-0.307853252,-2.060148954
101,1,-1.390035152,1,0.174574867,-0.763487399,-0.865390718
102,1,-2.083943129,1,-1.197102785,-2.59901309,-1.579692721
103,1,-2.132075548,1,-0.213370636,-1.211493254,-1.109924674
104,1,0.033879403,2,-0.430301428,-0.886651337,-1.518296361
105,1,-0.928766906,1,0.410503626,-1.866825223,-0.67128402
106,1,-0.522650659,2,0.361850262,-0.915869236,-1.58931911
107,1,-1.710917234,1,-0.341569602,-1.131902933,-2.357641697
108,1,0.072166435,3,0.724701941,-0.588946998,-1.515198946
109,1,-1.25366056,1,-0.322301537,-0.896530271,-0.775974035
110,1,-1.470255852,1,-2.566964149,0.125295728,0.816752911
111,1,-0.066395879,2,-2.999452353,0.120999664,1.251112938
112,1,-2.140670061,1,-2.278600216,-0.148063272,0.904220998
113,1,-1.154387116,1,-2.612197638,0.04232733,0.047021858
114,1,-1.470255852,1,-2.098705769,0.770063579,-1.862476349
115,1,-0.490419298,2,-3.096528292,-0.004478718,0.007693626
116,1,-2.132074594,1,-3.102554083,-0.413898557,1.193729877
117,,-1.88281858,1,0.986895502,-3.45020175,-1.010756373
118,,-0.928766906,1,-0.029330909,-2.293512344,-1.599014044
119,,-1.199511409,1,0.387382239,-2.93452549,-0.348378867
120,,-1.590586543,1,0.322015077,-2.718695164,0.555099547
121,,-1.371803522,1,0.630771339,-2.483243704,-0.800116062
122,,-0.387278855,2,0.140824825,-1.942213297,0.809494734
123,,-0.567774892,1,1.170817733,-2.938641071,0.106340155
124,,-1.263974071,1,0.641825795,-3.101840973,0.694856167
125,,-3.172077417,1,0.333825678,-3.136226654,-3.247140646
126,,-3.636209726,1,0.727469623,-3.082257986,-2.174732208
127,,-2.553232908,1,-1.569794893,-1.426763296,-0.689145088
128,,-3.997202635,1,-1.96805501,-3.810366631,0.297538459
129,,-3.203019381,1,-2.064361811,-2.022593021,-3.547077894
130,,-0.748270869,1,-0.796528459,-5.067374706,1.508408546
131,8,1.096801877,4,0.36365205,0.990735233,-0.578380942
132,8,0.966442645,4,0.517237544,1.017244577,0.764933944
